,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
583,Senior Data Scientist,$70K-$118K (Glassdoor est.),"Senior Data Scientist
Location/City: Any US location (offices in Atlanta, GA and Playa Vista, CA)

Responsibilities
We are looking for a sharp, highly-motivated Senior Data Scientist to join our team. This is a high-impact role that will leverage data & analytics to derive insights from our Members’ data and make recommendations to help improve their financial wellbeing. You will collaborate with product, and engineering as well as executive stakeholders to create analytical solutions to help achieve business goals. An ideal candidate is an individual who has a deep background in statistics, analysis, experiment design, and can bring those skills to bear in a start-up environment. A strong understanding and hands-on ability with data science technology and infrastructure is important as well.
As the Senior Data Scientist, you will:
Work with large volumes of bank transactions to create proprietary intelligence about the nature of employment and earnings for our Members
Help build out our job recommendation engine to aid our Members in finding new or additional work to increase their income
Help drive a data-first culture where data is understood and leveraged in decision making
Collaborate with the data science team and CDO to define the technical strategy for Steady’s data science ecosystem
Develop and codify processes and best practices for modeling, testing, and analytics
Effectively balance short term delivery with long term direction and value
Advocate for data science innovation and increased contribution to Steady’s mission

Skills & Requirements
Advanced degree and relevant experience (MS + 5 years, PhD + 3 years) in statistics, mathematics, computer science, or similar field
Demonstrated experience creating production ML pipelines (training, scoring, leveraging in real-time systems)
Expert knowledge of modern machine learning algorithms (regression, classification, random forests, clustering, optimization, etc.) and statistical inference
Experience with bank or credit card transaction data preferred
Experience with NLP and textual data analysis is a plus
Demonstrated experience of efficient manipulation and storage of large datasets
Hands on experience and expertise with SQL, Spark, Python (preferred) or R
Experience with machine learning platforms Sagemaker/Databricks a plus
Strong data visualization skills (experience with Tableau preferred)
Familiarity and experience with the AWS data ecosystem (S3, AWS Glue, EMR, etc.)
Excellent verbal and written communication skills with the ability to interact at all levels of the organization
Comfortable working with distributed teams across multiple offices and timezones
Ability to thrive in a fast-paced, entrepreneurial, high-energy environment


Benefits
We value our Steady Team Members and are committed to their success. We are located in downtown Atlanta near MARTA, as well as in Playa Vista CA. We offer competitive compensation packages and a 100% company-paid benefits package including medical, dental, and vision. Steady is a relaxed, casual work environment with flexible hours and lunch provided once weekly in addition to a weekly meal stipend. We also offer a generous PTO plan, 401K, and future growth opportunities within the company. We strive to maintain a positive and fun environment for our employees where people can learn and grow with the company.
About Steady
Steady is a mission-driven business that helps people earn more. Through the free Steady app users can build & track income, networks, and buying power – allowing them to augment retirement savings, work around childcare responsibilities, pay down debt, save for purchases, and supplement their income from primary employers, while limiting their income volatility and better positioning themselves for access to a sustainable financial services ecosystem.
Every Steady member will build something different. We celebrate those who take the initiative to create a path that works for them. Whatever that looks like, Steady is there to support it, providing a stable foundation that allows people to build financial success over a lifetime.

Mission: Steady turns the tables by putting workers back in charge of their financial future with an income-building platform that creates financial stability and helps its users to take charge of their future.

For more information, visit us at www.steadyapp.com or on Twitter @TheSteadyApp.

Steady, Platform Inc. (Steady) is an Equal Employment Opportunity employer – All qualified applicants/employees will receive consideration for employment without regard to that individual’s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.
Statement to ALL Third-Party Agencies and Similar Organizations: Steady accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Steady employees, Steady hiring manager, or send to any Steady facility. Steady is not responsible for any fees or charges associated with unsolicited resumes.",3.6,"Steady
3.6","Atlanta, GA","Atlanta, GA",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
584,Data Scientist,$70K-$118K (Glassdoor est.),"Requisition Number: 69506
Company Name: DRG Inc
Service Line: 1UVM - DRG Utility Vegetation Management
Employment Type: Regular
Job Type: Full Time
Education Level Required: Bachelors
Work Experience Required: 1 - 2 years
Relocation Available: [[relocation]]
Travel Expectations: Up to 25%

DAVEY RESOURCE GROUP, a Division of The Davey Tree Expert Company, has opportunities as an Information Technology Programmer. Davey is a leader in the tree care, utility line clearing and forestry consulting industries, throughout the US and Canada.

DUTIES: The Data Scientist collects and analyzes statistics and information from multiple sources to spot trends and to gain maximum insight that can give the company a competitive advantage, and communicates informed conclusions and recommendations across an organization's leadership structure. Strategizes and identifies unique opportunities to locate and collect new data, explores and mines data from many angles, and determines what it means. Communicates data findings to both business and IT leaders to influence how an organization approaches and meets business challenges of an evolving customer base and changing marketplace, using strong business acumen. Finds and recommends new uses for existing data sources; designs, modifies, and builds new data processes; and builds large, complex data sets.

TYPICAL FUNCTIONS:

● Conducts statistical modeling and experiment design, and tests and validates predictive models.

● Builds web prototypes and performs data visualization.

● Conducts scalable data research on and off the cloud.

● Develops customized algorithms to solve analytical problems with incomplete data sets, and implements automated processes for efficiently producing scale models. ● Collaborates with database engineers and other scientists to develop, refine, and scale data management and analytics procedures, systems, workflows,

best practices, and other issues.

● Implements new or enhanced software designed to access and handle data more efficiently.

● Trains the data management team on new or updated procedures.

● Writes and implements quality procedures.

EDUCATION AND QUALIFICATIONS

● Four year degree in Computer Science, Statistics, Mathematics, or related discipline or an equivalent combination of education and experience in a similar position

● Strong skills and capabilities in at least one of the following areas of expertise:

○ Probability and Statistics

○ Programming experience with Python, R, SQL

○ Data Wrangling and Database Management

○ Ability to provide Data Visualizations, Reports and Conclusion analysis, as well as effective communication and presentations

○ Experience with Machine Learning / Deep Learning is a plus

● Technical certification and licensing as required

● Understanding of GIT and Source Control practices is a plus

● Knowledge of Geographic Information Systems concepts is a plus

● Interacting with RESTful APIs are a strong plus

ADDITIONAL INFORMATION: Full time position. Compensation based on qualifications and experience. DRG offers competitive wages, excellent benefits and full-time position includes the option to buy company stock after one year. Access to industry related training materials and Davey Extension Courses. Pre-employment Drug Screen and Social Security verification required. The Davey Tree Expert Company and Davey Resource Group is an Equal Opportunity Employer. Davey ss Employee Owned. Military Veterans are encouraged to apply.

The Davey Tree Expert Company has U.S. and Canadian operations in more than 47 states and five provinces and provides a variety of tree care, grounds maintenance and consulting services for the residential, utility, commercial, and government markets. Founded in 1880, Davey has been employee-owned for 35 years and has more than 8,000 employees who provide Proven Solutions for a Growing World. For more information, visit www.davey.com

If you need any assistance at any time please contact us at 1-800-445-8733 ext. 1108 or at ed.help@davey.com.",3.4,"The Davey Tree Expert Company
3.4","Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
585,Data Scientist,$70K-$118K (Glassdoor est.),"Skills Data Scientist Location Raritan, NJ Duration Long Term Interview Telephonic Job Description 10 years of experience in IT. Skills in some of the following domains are essential with minimum 5-6 strong implementations and specific experience is desirable. Data Sciences and Machine Learning ndash Minimum 5 -6yrs of experience in developing Client models like Supervised and Un Supervised learning with Neural Net, Deep Learning algorithms Language ndash Natural Language Processing, machine translation, language detection, classification with different aspects of dealing NLP like Phonology, Morphology Experience building complex classification and other prediction models using machine learning Linguistic Analysis ndash Different techniques of Syntax recognition, Semantics, Pragmatics with different approaches of Semantic analysis like Distributional, Frame based, Interactive learning et Thought Leader who can conceptualize big vision and define plan for Machine Learning, metrics and deliverables. cyberThink Inc. is an Equal Opportunity Employer Thanks, Ezaz Ghanchi cyberThink Inc. Bridgewater, NJ 08807-1774 Work 908-533-7962 Ezazcyberthink.com www.cyberthink.comstaffing Join me on LinkedIn at httpswww.linkedin.cominezazghanchi Connecting with the best and brightest is our goal, please ask about our referral bonus policy. cyberThink Inc. is an Equal Opportunity Employer.",3.6,"cyberThink, Inc.
3.6","Raritan, NJ","Bridgewater, NJ",201 to 500 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
586,Data Scientist,$70K-$118K (Glassdoor est.),"Company Description

null
Job Description

Title: Data Scientist

Location: Tempe, AZ (Remote Work)

Duration: Contract to Hire

Job Description

Preferably looking for 8+ years of experience candidate.

SQL

Python

R language

Hadoop

If you are willing to apply, then please send your updated resume along with below mentioned details:

Availability to Join:

Availability for the first Telephonic Interview:

Candidate must be authorized to work in the United States.

Fulcrum is an Equal Opportunity Employer and is committed to maintaining a discrimination-free workplace.",3.3,"fulcrum worldwide
3.3","Tempe, AZ","Jersey City, NJ",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
587,Senior Data Scientist,$70K-$118K (Glassdoor est.),"About Us

At GutCheck, we pioneered agile market research to provide our clients with actionable insights at the speed of their business. As the marketplace rapidly evolves, we're evolving with it. By combining qualitative, quantitative, and behavioral methodologies, our team of full-service research experts synthesizes insights to help clients make more confident business decisions -- connecting them with their target consumers earlier and more often in the development process.

What Makes Our Approach Different

We create heroes out of our clients by providing them with contextualized insights to more efficiently and effectively connect with their target audiences. Enabled by technology and automation, we are dedicated partners who take a human-first approach to delivering powerful insights. Today, we are bringing agile to strategy: enabling brands to gather robust foundational insights in an agile, iterative way to inform key business within the demands of today's innovation timelines.

Here's where you come in:

As our Senior Data Scientist, you will be the primary contributor that will operationalize predictive models built with machine learning and advanced analytic technologies. GutCheck owns years of structured and unstructured data. We've started to identify patterns in our world-class market research using machine learning technologies such as TensorFlow. You will help us by providing expertise on mathematical concepts for the broader cross-functional analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

You will work closely with our talented and agile Product and Engineering teams to craft scalable, well-designed solutions that address the technical and architectural challenges inherent to making sense of our data. We have a focus on quality, automation, and innovation. We encourage our Engineers to think creatively and flexibly when choosing solutions, tools, and techniques. Our team offers an environment where trust and innovation are encouraged, egos aren't accepted, and collaboration is core to our DNA.

You will advocate, evangelize and build data-fueled products that help our internal and external customers gain deeper insights into direct, targeted consumer feedback. This data can and will be coupled with third-party data sources to help our clients be heroes by making well informed business decisions. You'll help research and choose which data sources will provide unique and compelling insights, and then you'll dig in and become an expert on that data. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

For more information on the company and the GutCheck team, please go to www.gutcheckit.com

This job description is not a complete list of your qualifications or position roles. GutCheck is proud to be an equal opportunity employer. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
588,Data Scientist,$70K-$118K (Glassdoor est.),"HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers
Required Skills/Abilities:
Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels


Preferred Skills/Abilities:
Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)
Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)
HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.",3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1
589,Data Scientist,$70K-$118K (Glassdoor est.),"Job Description
Data Scientist – Simply Biotech

Are you looking for a new career opportunity with an exciting biotech company?! Then we have got the right team for you! In this role, you are responsible for the duties listed below.

Immediate opening for a Data Scientist in Palo Alto, CA who possess:
PhD in a quantitative field in the natural or social sciences e.g. statistics, economics, genetics, political science, etc.
Significant experience in R or Python
Proficiency working in Linux environment
Strong fundamentals in machine learning
Email your resumes to ajones@simplybiotech.com or call 858.251.3562

FULL DESCRIPTION: As a (Senior) Data Scientist, you will lead the development of modern statistical and experimental methodologies to discover actionable insights in our clinical and biological data. These insights will feed directly into our products and support our research and development efforts. You will work closely with an inter-disciplinary team of laboratory scientists, data scientists, and engineers to ensure the company meets its key milestones and objectives as well as identify additional opportunities where data science can bring real business value. You will also have the advantageous opportunity to collaborate on the data generation process itself.

The selected candidate will further possess:
Expertise in applied statistics
Experience working with datasets that cannot fit in a typical personal computer’s memory
Proficiency writing high-quality code, using version control, and maintaining documentation
Ability to communicate and collaborate with an inter-disciplinary team
Ability to translate business-level objectives to data science objectives
Experience with clinical or biological data e.g. genomics, proteomics, imaging, EMR
Experience with association studies in biological domains e.g. GWAS
Experience with study designs for assessing diagnostic tests
For immediate and confidential consideration, please email your resume to ajones@simplybiotech.com or call 858.251.3562

More information can be found at www.SimplyBiotech.com
Company Description
We are Kinetic Personnel Group! As our name implies, we are dedicated to keeping your career in motion by connecting exceptional candidates with great companies. We work with companies across a variety of industries both, locally and nationwide to keep their businesses moving forward. Our customers are established Organizations; large and small; in the private, public, and municipalities sectors. We partner with them to staff for a broad range of positions and across various functionalities, such as:

Accounting/Finance

Information Technology

Sales/ Customer Service

Engineering Disciplines

Manufacturing

Administration

Logistics

Benefits offered by Kinetic Personnel Group: Medical, Dental, Vision, Sick Pay, Longevity Pay, and Holiday Pay",4.8,"Simply Biotech
4.8","Palo Alto, CA","San Diego, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
590,Data Scientist,$70K-$118K (Glassdoor est.),"FIRST ROLE WITH CAPIO:

Help Capio Group design a better way! We are looking for an experienced Data Scientist excited to deliver meaningful solutions to our public sector customers.

The Data Scientist will be assigned full-time to a Capio Group project. Our teams range from a single consultant to as many as 40, so candidates should be comfortable working individually and in groups. Capio Group consultants usually work at the customer’s place of business.

MINIMUM QUALIFICATIONS:
At least five (5) years of FTE experience within the last ten (10) years in data analytics and performing at least five (5) of the following tasks:
Developing, in concert with Business Analysts and Researchers, domain models using Domain Driven Design (DDD);
Understanding, preparing, and analyzing data to identify statistical associations and patterns, including emerging trends;
Understanding and analyzing data to generate business insights, and providing specific recommendations, based on those findings, to optimize business results;
Applying mathematical optimization;
Applying discrete-event simulation;
Understanding business rules representation and processing;
Designing, building, interpreting and tuning predictive models; or
Performing data science with Java, SQL, R, Python, text analytics, graph analytics, structured and unstructured data, JSON, XML, NoSQL, and RDMSs.",4.1,"Capio Group
4.1","Sacramento, CA","Goteborg, Sweden",10000+ employees,-1,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
591,Data Scientist,$70K-$118K (Glassdoor est.),"Data Scientist


Location: Maryland

We are looking for a mid- to senior-level Data Scientist that can combine data science with deep knowledge and understanding of machine learning and big data technologies to create and evaluate novel solutions. The candidate will spearhead the development of new products and be able to go from POC to production. Candidate will work with a broad range of interesting and proprietary data as part of a diverse development team. The ideal candidate will have strong collaboration skills to identify and gather relevant data from functional users.

In this role you will:
Develop and validate statistical and machine learning models to identify trends within structured, semi-structured and time-series data; all heavily leveraging the existing big data infrastructure, making use of leading edge analytical approaches
You will be expected to take complex datasets, mashup models, and solve complex problems with predictive techniques
Required
At least 4+ years professional work experience as a Data Scientist/Data Engineer
Solid fundamentals, machine learning concepts, regression, clustering, Bayesian modeling, probability theory, stats
Expertise with database systems, SQL/NOSQL, and columnar databases are mandatory
Fluent in Python
Java/Scala
Experienced with parallelization tools Hadoop/Spark
Experienced in turning functional requirements into technical methods
Experienced with cloud services and cloud computing – tools and ML
Qualifications
Exceptional analytical, mathematical and problem solving skills
3+ years of progressive experience building statistical and machine learning models
Candidates must have a strong understanding of financial markets. Must have working experience with multiple algorithms and knowledge to pick the right algorithm for a given business problem.
A strong math and computer science background are key. Working experience with Databricks, AWS Sagemaker, and SQL preferred.
Experience developing ML classification, regression models using Python and/or Scala
Experience working with structured, semi-structured, and time-series data to build models
Ability to translate complex mathematical results and findings for executive audience
Ability to work in a highly collaborative manner with a reasonable degree of independence
Ability to effectively manage time to handle competing high priority projects
Essential Duties and Responsibilities
Proven track record in the areas of artificial intelligence, machine learning, NLP. Should have good experience building solutions in the area of data-science for large enterprises.
Should be well versed with python statistical modeling, data analytics.
Define how analytics solution will be constructed: which existing data will be leveraged, how they will be integrated, and engineered, and how gaps need to be filled.
Extract, merge, clean, and normalize large-scale data from disparate sources in preparation for exploratory data analysis, model building and validation – within a big data environment.
Develop, validate ML classification, regression models using Python or similar in order to directly answer business needs, and to positively impact business operations.
Prepare appropriate data visualizations and presentations to highlight findings and recommendations for both a technical and executive audience.
Promote a unified approach leveraging existing data sets and efforts while also ensuring collaboration throughout the organization to ensure adoption and common standard approach
Establish credibility as a trusted advisor to key stakeholders across the enterprise in order to drive business actions and outcomes based on results of your analysis
Apply good business and financial acumen to create and assess business cases
Implement appropriate mechanisms to track, measure the business impact of your work
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Find out if you have what it takes to join our team. Apply today and send your resume to careers@essextec.com.",3.0,"Essextec
3.0",Maryland,"Rochelle Park, NJ",51 to 200 employees,-1,Government,IT Services,Information Technology,$25 to $50 million (USD),-1
592,Data Scientist,$70K-$118K (Glassdoor est.),"Location: Redmond, WA
Client: Microsoft (Un-Managed)

Job Description:
Data Analyzer: strong problem-solving skills and hands-on coding skills with
SQL, python,
Deep Learning Modeler: understanding NLP embedding, Vision, transformer, etc
Recommendation algorithms/IR: Understand IR or ML really well can explain MF,
latent, KNN, Community cluster
Applied researcher: who can code really well and prepare training data him/
herself.
PhD Degree is mandatory in any stream.

Jaya Krishna
Talent Acquisition Specialist",4.4,"Pactera Edge
4.4","Redmond, WA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture"
593,Data Scientist,$70K-$118K (Glassdoor est.),"Position: Data Scientist

Location: San Ramon, CA â must work onsite

Position Type:ÂDirect-hire - Full-time
Interview: Phone then face to face

Salary range: $130K - $170K

Â

<u>
Build complex Data Science solutions for various Enterprise initiatives.
Design and build predictive models for increasing operational efficiency
Implement Machine Learning and statistics-based algorithms for prediction and optimization
Build and maintain code as part of ETL process. Load data to and from SQL databases and Azure Data Lake Storage
</ul>

<b>Required skills
5+ years of experience as a Data Scientist, preferably in Big Data Environment
2+ years of programming experience in Java/Scala and/or Python
AZURE stack (ADLS, Data Factory, Databricks)
SQL & database experience
Bachelorâs degree in computer science or related field",3.4,"TECHNOCRAFT Solutions
3.4","San Ramon, CA","Hilliard, OH",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
594,Data Scientist,$70K-$118K (Glassdoor est.),"Description:

Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.

The Contractor shall provide for the tasks documented in this narrative on a best effort, Level of Effort (LOE) basis with the number of FTE listed under labor categories. The hours shall be managed at the overall requirement level.
The Sponsor has a mission need for additional support to enable and grow existing automation efforts, add additional data streams, and drive forward natural language processing efforts.
The Sponsor seeks a Data Scientist to focus on the Sponsor’s business analytics, metrics collection, and analysis efforts. The Sponsor’s management team requires a data scientist to characterize the Sponsor’s work force demographics, workforce productivity and output, and the value of collection to the analytic workforce.
The Contractor shall work with the Sponsor and stakeholders to establish search profiles, working data sets, and configurations to support metrics analysis.
The Contractor shall design and implement advanced code and table configurations for complex data sets. The Contractor shall compile data analysis and conduct needs assessments using deployed tools. The Contractor shall stay current with the Sponsor’s enterprise metadata collection tools. The Contractor shall produce ad hoc metrics reports to answer immediate needs. The Contractor shall employ the Sponsor’s existing coordination process.

Estimated Salary:
Position Level: Level 3 – Senior
Salary Range: Up to $170,000.00 per year

B4Corp Estimated Salary Ranges:
Position Level Min Salary Max Salary
Level 1 – Subject Matter Expert $160,000 $215,000
Level 2 – Expert $140,000 $195,000
Level 3 – Senior $110,000 $170,000
Level 4 – Full Performance $60,000 $100,000

Mandatory Requirements:

Demonstrated professional experience using the scripting language Python.

Demonstrated experience with machine learning.

Demonstrated professional experience with analytic methods and tools in: applied mathematics, data modeling or probability and statistics.

Demonstrated experience using advanced Microsoft Excel methods.

Demonstrated professional experience with SQL in Oracle.

Demonstrated experience presenting complex, technical findings.

Demonstrated experience working with diverse data types.

Demonstrated professional experience with version control systems, such as Github.

Demonstrated experience with data science techniques or formal data science training.

Optional Requirements:

Demonstrated experience with developing data visualizations.

Demonstrated experience with creative problem solving skills to address procedural and administrative issues within the assigned problem set.

Demonstrated experience with web analytics processing and procedures.

Demonstrated familiarity with Amazon Web Services infrastructure.

Demonstrated familiarity with Amazon Web Services’ native data science capabilities.

B4CORP Company Information

B4Corp is a small defense contracting company that focuses on providing an optimum environment for mission-focused, highly-skilled consultants to support the United States of America’s intelligence community and other defense organizations. B4Corp provides a low overhead, highly efficient, high salary environment that allows employees to excel at meeting the client’s needs. B4Corp is looking for information technology professionals that have a high sense of personal responsibility, self-motivation, and mission drive.

B4Corp’s dedication and care for its employees is reflected in the outstanding compensation and benefits B4Corp provides. Our salaries are second to none. B4Corp’s benefits reflect the company’s policy of putting the employees first. Our health insurance demonstrates this with 100% employer coverage and providing employees with a plan that has $0 copay, 0% coinsurance and an HSA that can allow employees to accrue health savings for the future. B4Corp’s maximum flexibility comp / makeup time policy, along with the company’s cafeteria-style benefit plan that allows employees to maximize their benefit dollars, reflects B4Corp’s commitment to its employees.

Compensation:
Outstanding Salaries
Retirement:
Full Vanguard 401k Plan – Featuring a full scope of investment options
– 100% employer matched contribution up to 6% of employee’s salary
– Ability to max out 401k savings $57k ($63.5k if over 50)
Employees receive B4Corp phantom stock each year (2-year vesting period)
Insurance 100% Employer-Paid Premiums:
United Health Care Choice Plus HSA POS Gold 1500 w/HSA
– Employer funded HSA to cover 100% health care deductible
– Health insurance: $0 copay, $0 co-insurance. Full scope protection for you and your family!
– 100% employer premium coverage for single and family
Health Equity HSA – B4Corp contributes $1500.00 for single and $3000.00 for family into your Health Equity HSA to cover 100% of your health care deductible.
Mutual of Omaha Dental VSP Vision Insurance Mutual of Omaha short-term disability (60% of salary up to $2,000.00/week)
Mutual of Omaha long-term disability (60% of salary up to $10,000.00/month)
Mutual of Omaha life insurance ($200,000.00)
Employee Referral Bonus:
Refer a friend or a coworker and receive $2,000 per year for every year the person works for B4CORP
Paid Time Off (PTO):
Seven weeks of leave per year (including ten federal holidays)
Ability to purchase 2 additional weeks of vacation
Flexible work schedule with comp time (with customer approval)
Tuition and Training:
Free CBTNuggets Online Training Account
– More than 200 online IT courses on a large variety of topics, including networking, security, virtualization, and the cloud — from trusted vendors such as Cisco, Microsoft, and Google.
– Train anytime, anywhere, and on a variety of devices – even offline!
– Transcender® Practice Exams
– Virtual Labs
Free L inux Academy Online Training Account
Internal Tracking -J949",-1.0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
595,"Scientist, Bacteriology",$70K-$118K (Glassdoor est.),"Scientist, Bacteriology
Location


Cerus US

Department


1400 - Microbiology

Apply Now

Job Brief (Primary Responsibilities)


Initiates and executes research and development viral infectivity assays using a variety of different bacteria, including pathogenic species, in human blood and blood products


JOB DESCRIPTION

Title: Scientist, Bacteriology

Department: Development Status: Exempt

Summary & Scope of Position:

Plans, initiates and executes GLP and research bacteriology studies evaluating the efficiency of Cerus’ technologies against a variety of different human pathogens in human blood products. May occasionally participate in virology assays.

Primary Responsibilities:
Initiate and execute experiments, either independently or as a team member; including experiments
Some of the work may support product claims and regulatory submissions
Work with various pathogenic bacteria using appropriate precautions
Prepare and manipulate whole blood and various blood products, including plasma, platelets and RBC
Initiate, grow and maintain various bacteria
Develop and optimize bacterial stock growth
Develop, optimize and qualify or validate bacterial assays
Perform and appropriately document GLP and notebook studies
Make detailed observations, analyze data and interpret results
Prepare technical reports, summaries, protocols and quantitative analyses
Analyze data and results for research experiments as well as GLP studies
Prepare final reports, study plans, etc., necessary for multiple projects
Prepare and deliver presentations of experimental results in internal or public forums
Maintain high level of professional expertise through familiarity with current scientific literature
Contribute to project progress within his/her scientific discipline
Perform as subject matter expert in general bacteriology
Contribute to/author regulatory submissions and scientific journal articles
May manage bacteriology laboratory including direct supervision of a small staff
May design, initiate and manage off-site studies
Perform other related duties as required
Act as principal investigator in conducting own experiments
Act as study director for GLP studies
Uses professional concepts and company’s policies and procedures to solve a wide range of difficult problems in imaginative and practical ways
Makes decisions on the validity and importance or experimental results
Exercises judgment within defined practices and policies in selecting methods and techniques for obtaining results
Qualifications/Requirements/Skills:
Ph.D. in a bacteriology-related discipline preferred with 2 years relevant experience or MS/MA in a microbiology-related discipline with a minimum of 8 years relevant experience; BA/BS required with a minimum of 15 years relevant experience
Postdoctoral work may serve as experience
Demonstrated ability to initiate, carry out and complete research and/or development projects
Demonstrated working knowledge of scientific principles of microbiology
Experience in developing new methodology and techniques
Experience working with pathogenic organisms
Demonstrated experience with bacterial assays for viability determination and enumeration, experience with a wide range of bacteria
Experience with PCR and other amplification techniques
Experience with cell, or molecular biology
Experience with cell culture, including stock preparation and repository maintenance
Exposure to identification of bacterial morphology
Experience working with human blood products desirable
Experience working in a GLP or other regulated environment desirable
Strong attention to detail and accuracy
Must have publications in peer-reviewed journals, or demonstrated ability to independently write reports that address key technical research and development issues
Excellent mathematical skills, problem solving skills, and ability to apply scientific methods to resolution
Strong word processing, spreadsheet, scientific and graphics applications skills
Proven analytical skills; problem-solving, trouble-shooting, innovative
Team oriented
Ability to work independently
Strong communication and presentation skills (verbal, excellent written, interpersonal, listening)
Flexible; ability to adapt to changing priorities
Time management (schedules, timelines, task prioritization)",2.5,"Cerus Corporation
2.5","Concord, CA","Concord, CA",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1
